네이버_수집일시,네이버_단지명,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-02 19:43:39,지축역센트럴푸르지오 102동,경기도,고양시 덕양구,지축동,109A/84,"9억 3,000",93000.0,1/29층,남서향,"109A/84m², 1/29층, 남서향",매경부동산 제공,25.06.28,19,2025-07-01 18:55:02,지축역센트럴푸르지오,경기도 고양시 덕양구 지축동 904,109.57B/84.86,97000.0,100000.0,102000.0,지축역센트럴푸르지오공인,02-381-0304,4000.0,4.12,지축역센트럴푸르지오,109.0
2025-07-02 19:43:39,지축역센트럴푸르지오 102동,경기도,고양시 덕양구,지축동,109A/84,"9억 3,000",93000.0,1/29층,남서향,"109A/84m², 1/29층, 남서향",매경부동산 제공,25.06.28,18,2025-07-01 18:55:02,지축역센트럴푸르지오,경기도 고양시 덕양구 지축동 904,109.57B/84.86,97000.0,100000.0,102000.0,지축역센트럴푸르지오공인,02-381-0304,4000.0,4.12,지축역센트럴푸르지오,109.0
2025-07-02 19:43:39,지축역센트럴푸르지오 102동,경기도,고양시 덕양구,지축동,109A/84,"9억 3,000",93000.0,1/29층,남서향,"109A/84m², 1/29층, 남서향",아실 제공,25.07.01,12,2025-07-01 18:55:02,지축역센트럴푸르지오,경기도 고양시 덕양구 지축동 904,109.57B/84.86,97000.0,100000.0,102000.0,지축역센트럴푸르지오공인,02-381-0304,4000.0,4.12,지축역센트럴푸르지오,109.0
2025-07-02 19:43:39,지축역센트럴푸르지오 102동,경기도,고양시 덕양구,지축동,109A/84,"9억 3,000",93000.0,1/29층,남서향,"109A/84m², 1/29층, 남서향",매경부동산 제공,25.07.02,9,2025-07-01 18:55:02,지축역센트럴푸르지오,경기도 고양시 덕양구 지축동 904,109.57B/84.86,97000.0,100000.0,102000.0,지축역센트럴푸르지오공인,02-381-0304,4000.0,4.12,지축역센트럴푸르지오,109.0
2025-07-02 19:24:44,삼송스타클래스 1901동,경기도,고양시 덕양구,삼송동,135A/101,"7억 6,000",76000.0,1/27층,남동향,"135A/101m², 1/27층, 남동향",매경부동산 제공,25.07.02,8,2025-07-01 18:39:30,삼송스타클래스,경기도 고양시 덕양구 삼송동 331,135.74A/101.51,78500.0,83500.0,86250.0,The클래스공인,02-381-0606,2500.0,3.18,삼송스타클래스,135.0
2025-07-02 19:39:03,벽산 102동,경기도,고양시 덕양구,주교동,109/84,"3억 1,000",31000.0,2/25층,남동향,"109/84m², 2/25층, 남동향",부동산뱅크 제공,25.06.26,4,2025-07-01 18:51:28,벽산,경기도 고양시 덕양구 주교동 350-1,109.54/84.75,33000.0,36000.0,37000.0,벽산894공인,031-963-0894,2000.0,6.06,벽산,109.0
2025-07-02 19:35:06,신원마을5단지우림필유 501동,경기도,고양시 덕양구,신원동,150B/114,"6억 7,000",67000.0,4/23층,남서향,"150B/114m², 4/23층, 남서향",매경부동산 제공,25.06.30,10,2025-07-01 18:47:46,신원마을5단지우림필유,경기도 고양시 덕양구 신원동 654,150.31B/114.33,68500.0,72000.0,77000.0,우림부동산공인,02-381-8000,1500.0,2.19,신원마을5단지우림필유,150.0
2025-07-02 19:17:02,유승 103동,경기도,고양시 덕양구,관산동,108B/84,3억,30003.0,5/25층,동향,"108B/84m², 5/25층, 동향",매경부동산 제공,25.06.11,10,2025-07-01 18:32:32,유승,경기도 고양시 덕양구 관산동 126,108.58B/84.98,31250.0,34500.0,35300.0,평화공인,031-962-0342,1247.0,3.99,유승,108.0
2025-07-02 19:43:39,지축역센트럴푸르지오 106동,경기도,고양시 덕양구,지축동,109A/84,"9억 6,000",96000.0,1/29층,남동향,"109A/84m², 1/29층, 남동향",매경부동산 제공,25.07.02,8,2025-07-01 18:55:02,지축역센트럴푸르지오,경기도 고양시 덕양구 지축동 904,109.57B/84.86,97000.0,100000.0,102000.0,지축역센트럴푸르지오공인,02-381-0304,1000.0,1.03,지축역센트럴푸르지오,109.0
2025-07-02 19:41:41,우인아크리움빌 101동,경기도,고양시 덕양구,주교동,112B/84,"3억 5,000",35000.0,1/20층,남동향,"112B/84m², 1/20층, 남동향",부동산뱅크 제공,25.07.02,2,2025-07-01 18:53:24,우인아크리움빌,경기도 고양시 덕양구 주교동 1633,112.85B/84.55,36000.0,38000.0,40000.0,벽산894공인,031-963-0894,1000.0,2.78,우인아크리움빌,112.0
