네이버_수집일시,네이버_단지명,네이버_단지코드,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-11 16:16,안성아양광신프로그레스 104동,113273,경기도,안성시,옥산동,112B/84,"3억 4,000",34000,,남서향,"112B/84m², 저/23층, 남서향",한경부동산 제공,25.06.16,41,2025-07-02 9:48,안성아양광신프로그레스,경기도 안성시 옥산동 557,112.11B/84.27,36250,37500,38500,우경희공인,031-676-3900,2250,6.21,안성아양광신프로그레스,112B
2025-07-11 16:16,안성아양광신프로그레스 104동,113273,경기도,안성시,옥산동,112B/84,"3억 4,000",34000,,남동향,"112B/84m², 저/23층, 남동향",매경부동산 제공,25.07.07,4,2025-07-02 9:48,안성아양광신프로그레스,경기도 안성시 옥산동 557,112.11B/84.27,36250,37500,38500,우경희공인,031-676-3900,2250,6.21,안성아양광신프로그레스,112B
2025-07-11 15:37,안성공도우미린더퍼스트 106동,115455,경기도,안성시,공도읍,80A/59,"2억 6,000",26000,2/25층,남동향,"80A/59m², 2/25층, 남동향",우리집부동산 제공,25.07.03,49,2025-07-02 9:35,안성공도우미린더퍼스트,경기도 안성시 공도읍 755,80.73A/59.99,28000,29000,30000,우미린스타공인,031-651-5251,2000,7.14,안성공도우미린더퍼스트,80A
2025-07-11 16:04,태영 101동,14861,경기도,안성시,당왕동,100/84,"1억 7,000",17000,14/22층,동향,"100/84m², 14/22층, 동향",부동산써브 제공,25.07.08,3,2025-07-02 9:41,태영,경기도 안성시 당왕동 462-1,100.33/84.98,19000,21000,22500,삼정조아공인,031-675-4940,2000,10.53,태영,100
2025-07-11 15:37,안성공도우미린더퍼스트 106동,115455,경기도,안성시,공도읍,80A/59,"2억 6,000",26000,2/25층,남동향,"80A/59m², 2/25층, 남동향",매경부동산 제공,25.07.03,50,2025-07-02 9:35,안성공도우미린더퍼스트,경기도 안성시 공도읍 755,80.73A/59.99,28000,29000,30000,우미린스타공인,031-651-5251,2000,7.14,안성공도우미린더퍼스트,80A
2025-07-11 15:37,안성공도우미린더퍼스트 106동,115455,경기도,안성시,공도읍,80A/59,"2억 6,000",26000,2/25층,남동향,"80A/59m², 2/25층, 남동향",매경부동산 제공,25.06.30,68,2025-07-02 9:35,안성공도우미린더퍼스트,경기도 안성시 공도읍 755,80.73A/59.99,28000,29000,30000,우미린스타공인,031-651-5251,2000,7.14,안성공도우미린더퍼스트,80A
2025-07-11 15:29,디자인시티블루밍 103동,27259,경기도,안성시,공도읍,159B/130,"3억 6,000",36000,,남동향,"159B/130m², 저/20층, 남동향",매경부동산 제공,25.06.21,104,2025-07-02 9:32,디자인시티블루밍,경기도 안성시 공도읍 880,159.03B/130.74,38000,39000,40000,부동산1번지공인,031-654-8500,2000,5.26,디자인시티블루밍,159B
2025-07-11 15:29,디자인시티블루밍 103동,27259,경기도,안성시,공도읍,159B/130,"3억 6,000",36000,,남동향,"159B/130m², 저/20층, 남동향",우리집부동산 제공,25.06.21,103,2025-07-02 9:32,디자인시티블루밍,경기도 안성시 공도읍 880,159.03B/130.74,38000,39000,40000,부동산1번지공인,031-654-8500,2000,5.26,디자인시티블루밍,159B
2025-07-11 15:37,안성공도우미린더퍼스트 106동,115455,경기도,안성시,공도읍,80A/59,"2억 6,000",26000,2/25층,남동향,"80A/59m², 2/25층, 남동향",매경부동산 제공,25.06.19,123,2025-07-02 9:35,안성공도우미린더퍼스트,경기도 안성시 공도읍 755,80.73A/59.99,28000,29000,30000,우미린스타공인,031-651-5251,2000,7.14,안성공도우미린더퍼스트,80A
2025-07-11 15:37,안성공도우미린더퍼스트 106동,115455,경기도,안성시,공도읍,80A/59,"2억 6,000",26000,2/25층,남동향,"80A/59m², 2/25층, 남동향",부동산써브 제공,25.06.12,165,2025-07-02 9:35,안성공도우미린더퍼스트,경기도 안성시 공도읍 755,80.73A/59.99,28000,29000,30000,우미린스타공인,031-651-5251,2000,7.14,안성공도우미린더퍼스트,80A
2025-07-11 16:04,태영 101동,14861,경기도,안성시,당왕동,100/84,"1억 7,000",17000,,동향,"100/84m², 중/22층, 동향",부동산114 제공,25.06.12,18,2025-07-02 9:41,태영,경기도 안성시 당왕동 462-1,100.33/84.98,19000,21000,22500,삼정조아공인,031-675-4940,2000,10.53,태영,100
2025-07-11 16:04,태영 101동,14861,경기도,안성시,당왕동,100/84,"1억 7,000",17000,14/22층,동향,"100/84m², 14/22층, 동향",부동산뱅크 제공,25.06.24,12,2025-07-02 9:41,태영,경기도 안성시 당왕동 462-1,100.33/84.98,19000,21000,22500,삼정조아공인,031-675-4940,2000,10.53,태영,100
2025-07-11 15:29,디자인시티블루밍 103동,27259,경기도,안성시,공도읍,159A/130,"3억 6,000",36000,,남서향,"159A/130m², 저/20층, 남서향",매경부동산 제공,25.07.11,46,2025-07-02 9:32,디자인시티블루밍,경기도 안성시 공도읍 880,159.96A/130.79,38000,39000,40000,부동산1번지공인,031-654-8500,2000,5.26,디자인시티블루밍,159A
2025-07-11 15:29,디자인시티블루밍 103동,27259,경기도,안성시,공도읍,159B/130,"3억 6,000",36000,,남향,"159B/130m², 저/20층, 남향",매경부동산 제공,25.07.10,8,2025-07-02 9:32,디자인시티블루밍,경기도 안성시 공도읍 880,159.03B/130.74,38000,39000,40000,부동산1번지공인,031-654-8500,2000,5.26,디자인시티블루밍,159B
2025-07-11 15:41,임광그대가2단지 203동,25089,경기도,안성시,공도읍,107/84,"1억 7,500",17500,1/11층,남향,"107/84m², 1/11층, 남향",산업부동산 제공,25.06.26,18,2025-07-02 9:36,임광그대가2단지,경기도 안성시 공도읍 590,107.29/84.91,19500,21000,22500,임광그대가공인,031-651-6661,2000,10.26,임광그대가2단지,107
2025-07-11 15:37,안성공도우미린더퍼스트 106동,115455,경기도,안성시,공도읍,80A/59,"2억 6,000",26000,2/25층,남동향,"80A/59m², 2/25층, 남동향",부동산뱅크 제공,25.07.04,43,2025-07-02 9:35,안성공도우미린더퍼스트,경기도 안성시 공도읍 755,80.73A/59.99,28000,29000,30000,우미린스타공인,031-651-5251,2000,7.14,안성공도우미린더퍼스트,80A
2025-07-11 16:00,안성동남타운 101동,27117,경기도,안성시,금석동,79/58,"6,700",6700,1/18층,동향,"79/58m², 1/18층, 동향",한경부동산 제공,25.06.30,9,2025-07-02 9:39,안성동남타운,경기도 안성시 금석동 81,79.44/58.74,8500,9200,10000,앗싸동남(031-675-9005)공인,031-675-9005,1800,21.18,안성동남타운,79
2025-07-11 15:37,안성베르빌 102동,24241,경기도,안성시,공도읍,86/59,1억 500,10500,1/12층,남서향,"86/59m², 1/12층, 남서향",한국공인중개사협회 제공,,16,2025-07-02 9:35,안성베르빌,경기도 안성시 공도읍 561,86.50/59.97,12250,12750,14250,임광그대가공인,031-651-6661,1750,14.29,안성베르빌,86
2025-07-11 15:37,안성베르빌 102동,24241,경기도,안성시,공도읍,86/59,1억 500,10500,1/12층,남향,"86/59m², 1/12층, 남향",한국공인중개사협회 제공,,14,2025-07-02 9:35,안성베르빌,경기도 안성시 공도읍 561,86.50/59.97,12250,12750,14250,임광그대가공인,031-651-6661,1750,14.29,안성베르빌,86
2025-07-11 15:58,홍익 111동,24675,경기도,안성시,금광면,75/53,"1억 1,000",11000,1/15층,남동향,"75/53m², 1/15층, 남동향",매경부동산 제공,25.06.13,147,2025-07-02 9:37,홍익,경기도 안성시 금광면 139-1,75.03/53.69,12750,13500,14000,홍익공인,031-671-2127,1750,13.73,홍익,75
